,裁定,臺灣新北地方法院,判賠比率
臺灣臺中地方法院民事判決109年度建字第33號,0,0,0
臺灣臺中地方法院民事判決109年度建字第4號,0,0,0.274725275
臺灣臺中地方法院民事判決109年度建字第81號,0,0,0.99195014
臺灣臺北地方法院民事判決105年度建字第29號,1,0,1
臺灣臺北地方法院民事判決106年度建字第277號,0,0,0.445696649
臺灣臺北地方法院民事判決107年度建字第67號,0,0,0.507736442
臺灣臺北地方法院民事判決108年度建字第332號,0,0,0.769016178
臺灣臺北地方法院民事判決108年度建字第362號,1,0,0.932980738
臺灣臺北地方法院民事判決108年度建字第366號,0,0,0.058960672
臺灣臺北地方法院民事判決108年度建字第410號,0,0,0.709206553
臺灣臺北地方法院民事判決108年度建字第8號,0,0,0.795300216
臺灣臺北地方法院民事判決109年度建字第111號,1,0,0
臺灣臺北地方法院民事判決109年度建字第145號,0,0,0.626316857
臺灣臺北地方法院民事判決109年度建字第147號,0,0,0
臺灣臺北地方法院民事判決109年度建字第206號,0,0,0.507649125
臺灣臺北地方法院民事判決109年度建字第237號,0,0,0.096915945
臺灣臺北地方法院民事判決109年度建字第312號,0,0,1
臺灣臺北地方法院民事判決109年度建字第365號,1,0,1
臺灣臺北地方法院民事判決109年度建字第367號,0,0,1
臺灣臺北地方法院民事判決109年度建字第376號,0,0,0.723950362
臺灣臺北地方法院民事判決109年度建字第4號,0,0,0
臺灣臺北地方法院民事判決110年度建字第21號,0,0,1
臺灣臺南地方法院民事判決108年度建字第25號,1,0,
臺灣臺南地方法院民事判決109年度建字第77號,0,0,0.039657573
臺灣苗栗地方法院民事判決109年度建字第11號,0,0,0.305876289
臺灣高雄地方法院民事判決109年度建字第60號,0,0,0
臺灣彰化地方法院民事判決108年度建字第3號,0,0,0.562120202
臺灣新北地方法院民事判決108年度建字第61號,0,1,0
臺灣新竹地方法院民事判決108年度建字第35號,1,0,0.199720466
臺灣新竹地方法院民事判決109年度建字第5號,0,0,0.924757979
臺灣桃園地方法院民事判決107年度建字第60號,1,0,0
臺灣臺中地方法院民事判決105年度建字第107號,1,0,0
臺灣臺中地方法院民事判決106年度建字第94號,0,0,0
臺灣臺中地方法院民事判決107年度建字第117號,0,0,0.484952945
臺灣臺中地方法院民事判決108年度建字第164號,0,0,
臺灣臺中地方法院民事判決109年度建字第67號,0,0,0
臺灣臺北地方法院民事判決105年度建字第45號,0,0,0.475738039
臺灣臺北地方法院民事判決106年度建字第354號,0,0,1
臺灣臺北地方法院民事判決107年度建字第115號,0,0,
臺灣臺北地方法院民事判決108年度建字第194號,0,0,0.513245797
臺灣臺北地方法院民事判決108年度建字第420號,0,0,
臺灣臺北地方法院民事判決109年度建字第149號,0,0,0.773559322
臺灣臺北地方法院民事判決109年度建字第196號,1,0,0
臺灣臺北地方法院民事判決109年度建字第238號,0,0,
臺灣臺北地方法院民事判決109年度建字第295號,0,0,
臺灣臺南地方法院民事判決109年度建字第69號,0,0,0.317961858
臺灣高雄地方法院民事判決108年度建字第71號,0,0,0.213641239
臺灣高雄地方法院民事判決109年度建字第1號,0,0,0.649014625
臺灣高雄地方法院民事判決109年度建字第80號,0,0,
臺灣屏東地方法院民事判決109年度建字第29號,0,0,0
臺灣桃園地方法院民事判決109年度建字第90號,0,0,0.835616438
臺灣橋頭地方法院民事判決106年度建字第39號,0,0,0.639338298
臺灣臺中地方法院民事判決107年度建字第13號,0,0,0
臺灣臺中地方法院民事判決108年度建字第123號,0,0,0.637028334
臺灣臺中地方法院民事判決108年度建字第125號,0,0,0
臺灣臺中地方法院民事判決109年度建字第34號,1,0,
臺灣臺中地方法院民事判決110年度建字第3號,0,0,0
臺灣臺北地方法院民事判決106年度建字第165號,0,0,0.115452917
臺灣臺北地方法院民事判決108年度建字第83號,0,0,
臺灣臺北地方法院民事判決109年度建字第240號,1,0,
臺灣臺北地方法院民事判決109年度建字第31號,0,1,0
臺灣臺北地方法院民事判決109年度建字第53號,0,0,0.214337003
臺灣臺北地方法院民事判決110年度建字第86號,0,0,
臺灣苗栗地方法院民事判決110年度建字第9號,0,0,1
臺灣雲林地方法院民事判決109年度建字第10號,0,0,0.786683333
臺灣高雄地方法院民事判決108年度建字第29號,0,0,0.038629079
臺灣南投地方法院民事判決109年度建字第3號,0,0,0.539721774
臺灣嘉義地方法院民事判決108年度建字第16號,0,0,0.473828653
臺灣嘉義地方法院民事判決109年度建字第26號,1,0,0
臺灣基隆地方法院民事判決109年度建字第13號,0,0,0
臺灣基隆地方法院民事判決110年度建字第4號,0,0,0
臺灣士林地方法院民事判決107年度建字第9號,0,0,
臺灣士林地方法院民事判決110年度建字第5號,0,0,
臺灣宜蘭地方法院民事判決107年度建字第20號,0,0,
臺灣宜蘭地方法院民事判決108年度建字第7號,0,0,
臺灣屏東地方法院民事判決109年度建字第31號,0,0,1
臺灣新北地方法院民事判決108年度建字第119號,0,1,0.913475625
臺灣新竹地方法院民事判決107年度建字第72號,1,0,
臺灣新竹地方法院民事判決110年度建字第21號,0,0,1
臺灣桃園地方法院民事判決103年度建字第37號,0,0,0.986307098
臺灣桃園地方法院民事判決108年度建字第107號,0,0,0.031356784
臺灣桃園地方法院民事判決109年度建字第119號,0,0,0.628160063
臺灣橋頭地方法院民事判決109年度建字第37號,0,0,
臺灣臺中地方法院民事判決107年度建字第166號,0,0,0
臺灣臺中地方法院民事判決107年度建字第8號,0,0,0.160295833
臺灣臺中地方法院民事判決108年度建字第154號,1,0,0
臺灣臺中地方法院民事判決108年度建字第22號,0,0,0
臺灣臺中地方法院民事判決108年度建字第3號,0,0,
臺灣臺中地方法院民事判決108年度建字第76號,0,0,0
臺灣臺中地方法院民事判決109年度建字第159號,0,0,0.047427605
臺灣臺北地方法院民事判決104年度建字第415號,0,0,
臺灣臺北地方法院民事判決105年度建字第284號,0,0,0.784404074
臺灣臺北地方法院民事判決106年度建字第161號,1,0,0.4615147
