,,判賠比率,判決案由
209,臺灣臺北地方法院民事判決109年度建字第206號,0.507649125,給付工程款
210,臺灣臺北地方法院民事判決109年度建字第237號,0.096915945,給付承攬報酬
211,臺灣臺北地方法院民事判決109年度建字第312號,1,給付工程保留款
212,臺灣臺北地方法院民事判決109年度建字第365號,1,履行契約
213,臺灣臺北地方法院民事判決109年度建字第367號,1,給付工程款
214,臺灣臺北地方法院民事判決109年度建字第376號,0.723950362,給付工程款
215,臺灣臺北地方法院民事判決109年度建字第4號,0,給付工程款
216,臺灣臺北地方法院民事判決110年度建字第21號,1,給付工程款
217,臺灣臺南地方法院民事判決108年度建字第25號,,給付工程款等
218,臺灣臺南地方法院民事判決109年度建字第77號,0.039657573,返還不當得利等
219,臺灣苗栗地方法院民事判決109年度建字第11號,0.305876289,給付工程款
220,臺灣高雄地方法院民事判決109年度建字第60號,0,損害賠償
221,臺灣彰化地方法院民事判決108年度建字第3號,0.562120202,給付工程款等
222,臺灣新北地方法院民事判決108年度建字第61號,0,損害賠償
223,臺灣新竹地方法院民事判決108年度建字第35號,0.199720466,給付工程款
224,臺灣新竹地方法院民事判決109年度建字第5號,0.924757979,回復原狀等
225,臺灣桃園地方法院民事判決107年度建字第60號,0,給付工程款
226,臺灣臺中地方法院民事判決105年度建字第107號,0,給付工程款
227,臺灣臺中地方法院民事判決106年度建字第94號,0,給付工程款
228,臺灣臺中地方法院民事判決107年度建字第117號,0.484952945,給付工程款
229,臺灣臺中地方法院民事判決108年度建字第164號,,損害賠償
230,臺灣臺中地方法院民事判決109年度建字第67號,0,清償工程款
231,臺灣臺北地方法院民事判決105年度建字第45號,0.475738039,給付工程款等
232,臺灣臺北地方法院民事判決106年度建字第354號,1,給付工程款
233,臺灣臺北地方法院民事判決107年度建字第115號,,給付承攬報酬
234,臺灣臺北地方法院民事判決108年度建字第194號,0.513245797,給付工程款
235,臺灣臺北地方法院民事判決108年度建字第420號,,給付承攬報酬
236,臺灣臺北地方法院民事判決109年度建字第149號,0.773559322,損害賠償
237,臺灣臺北地方法院民事判決109年度建字第196號,0,清償債務
238,臺灣臺北地方法院民事判決109年度建字第238號,,給付工程款等
239,臺灣臺北地方法院民事判決109年度建字第295號,,給付工程款等
240,臺灣臺南地方法院民事判決109年度建字第69號,0.317961858,給付工程款
241,臺灣高雄地方法院民事判決108年度建字第71號,0.213641239,給付工程款
242,臺灣高雄地方法院民事判決109年度建字第1號,0.649014625,給付工程款
243,臺灣高雄地方法院民事判決109年度建字第80號,,返還溢領工程款等
